"Property Address","Parcel Number","Inspection Date","Grade","License Status","Expiration Date","Latitude","Longitude","georeference"
"709 West Springfield Avenue","922,117,104,003","2018 Sep 24 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11253569","-88.21713568","POINT (-88.21713568 40.11253569)"
"709 Springfield Avenue","922,117,104,003","2012 Oct 24 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1125","-88.2171","POINT (-88.2171 40.1125)"
"707 Springfield Avenue","922,117,104,004","2012 Jul 16 12:00:00 AM","Class C","Issued","10/14/2026","40.1126","-88.217","POINT (-88.217 40.1126)"
"705 Springfield Avenue","922,117,104,005","2012 Jul 16 12:00:00 AM","Class C","Issued",,"40.1125","-88.2167","POINT (-88.2167 40.1125)"
"103 North Coler Avenue","922,117,104,006","2013 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.1126","-88.2164","POINT (-88.2164 40.1126)"
"710 West Western Avenue","922,117,104,008","2025 Apr 10 12:00:00 AM","Class B","Issued","10/14/2026","40.11232","-88.21727","POINT (-88.21727 40.11232)"
"710 Western Avenue","922,117,104,008","2007 Aug 31 12:00:00 AM","Class B","Issued",,"40.1122","-88.2171","POINT (-88.2171 40.1122)"
"704 West Western Avenue","922,117,104,009","2025 Apr 16 12:00:00 AM","Class B","Issued","10/14/2026","40.11232013","-88.21672648","POINT (-88.21672648 40.11232013)"
"704 Western Avenue","922,117,104,009","2007 Jul 26 12:00:00 AM","Class B","Issued","10/14/2026","40.1123","-88.2168","POINT (-88.2168 40.1123)"
"702 Western Avenue","922,117,104,010","2012 Jul 02 12:00:00 AM","Class B","Issued",,"40.1123","-88.2164","POINT (-88.2164 40.1123)"
"707 West Springfield Avenue","922,117,104,011","2025 Apr 16 12:00:00 AM","Class B","Issued","10/14/2026","40.112534","-88.21662","POINT (-88.21662 40.112534)"
"711 West Western Avenue","922,117,105,001","2025 Mar 24 12:00:00 AM","Class B","Issued","10/14/2026","40.11202935","-88.21741987","POINT (-88.21741987 40.11202935)"
"711 West Western Avenue","922,117,105,001","2018 Jul 09 12:00:00 AM","Class B","Issued","10/14/2026","40.11202935","-88.21741987","POINT (-88.21741987 40.11202935)"
"711 Western Avenue","922,117,105,001","2012 Oct 15 12:00:00 AM","Class B","Issued",,"40.1122","-88.2171","POINT (-88.2171 40.1122)"
"709 West Western Avenue","922,117,105,002","2019 Mar 18 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.11203137","-88.2171101","POINT (-88.2171101 40.11203137)"
"709 Western Avenue","922,117,105,002","2007 Aug 14 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.112","-88.2171","POINT (-88.2171 40.112)"
"703 Western Avenue","922,117,105,004","2007 Aug 14 12:00:00 AM","Class B","Expired","10/14/2026","40.1122","-88.2169","POINT (-88.2169 40.1122)"
"101 South Coler Avenue","922,117,105,005","2013 Jan 15 12:00:00 AM","Class B","Expired","10/14/2026","40.1121","-88.2164","POINT (-88.2164 40.1121)"
"702 West Elm Street","922,117,105,015","2025 Jun 25 12:00:00 AM","Class B","Issued","10/14/2026","40.11174669","-88.21648503","POINT (-88.21648503 40.11174669)"
"702 West Elm Street","922,117,105,015","2012 Jul 19 12:00:00 AM","Class B","Expired",,"40.1117","-88.2165","POINT (-88.2165 40.1117)"
"712 West Elm Street","922,117,105,016","2025 Jun 05 12:00:00 AM","Class B","Issued","10/14/2026","40.11169866","-88.2174173","POINT (-88.2174173 40.11169866)"
"707 West Elm Street","922,117,106,004","2025 Apr 23 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.11120418","-88.21690728","POINT (-88.21690728 40.11120418)"
"707 West Elm Street","922,117,106,004","2012 Nov 13 12:00:00 AM","Class A","Issued",,"40.1112","-88.2169","POINT (-88.2169 40.1112)"
"705 West Elm Street","922,117,106,005","2025 Apr 23 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11123191","-88.21670842","POINT (-88.21670842 40.11123191)"
"705 West Elm Street","922,117,106,005","2012 Jul 11 12:00:00 AM","Class B","Issued","10/14/2026","40.1112","-88.2167","POINT (-88.2167 40.1112)"
"701 West Elm Street","922,117,106,007","2025 May 22 12:00:00 AM","Class B","Issued","10/14/2026","40.11125634","-88.21638702","POINT (-88.21638702 40.11125634)"
"701 West Elm Street","922,117,106,007","2012 Jul 11 12:00:00 AM","Class B","Issued","10/14/2026","40.1113","-88.2164","POINT (-88.2164 40.1113)"
"701 West Elm Street","922,117,106,007","2018 Jul 11 12:00:00 AM","Class B","Issued","10/14/2026","40.11125634","-88.21638702","POINT (-88.21638702 40.11125634)"
"203 South Coler Avenue","922,117,106,008","2013 Jun 12 12:00:00 AM","Class B","Issued",,"40.1111","-88.2164","POINT (-88.2164 40.1111)"
"203 South Coler Avenue","922,117,106,008","2025 Aug 26 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11107274","-88.21638516","POINT (-88.21638516 40.11107274)"
"712 West Green Street","922,117,106,010","2025 May 09 12:00:00 AM","Class B","Issued","10/14/2026","40.11086275","-88.21730709","POINT (-88.21730709 40.11086275)"
"712 West Green Street","922,117,106,010","2018 Jun 12 12:00:00 AM","Class B","Issued","10/14/2026","40.11086275","-88.21730709","POINT (-88.21730709 40.11086275)"
"712 West Green Street","922,117,106,010","2012 Jul 16 12:00:00 AM","Class B","Issued",,"40.1109","-88.2173","POINT (-88.2173 40.1109)"
"710 West Green Street","922,117,106,011","2025 Jun 20 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.110867","-88.21711","POINT (-88.21711 40.110867)"
"704 West Green Street","922,117,106,015","2025 Apr 02 12:00:00 AM","Class B","Issued","10/14/2026","40.1108562","-88.2164927","POINT (-88.2164927 40.1108562)"
"702 West Green Street","922,117,106,016","2025 Apr 23 12:00:00 AM","Class B","Issued","10/14/2026","40.11085896","-88.21627744","POINT (-88.21627744 40.11085896)"
"702 West Green Street","922,117,106,016","2018 Jul 09 12:00:00 AM","Class C","Issued","10/14/2026","40.11085896","-88.21627744","POINT (-88.21627744 40.11085896)"
"702 West Green Street","922,117,106,016","2012 Aug 15 12:00:00 AM","Class B","Issued","10/14/2026","40.1109","-88.2163","POINT (-88.2163 40.1109)"
"711 West Elm Street","922,117,106,017","2025 Jun 02 12:00:00 AM","Class B","Issued","10/14/2026","40.11120037","-88.21730891","POINT (-88.21730891 40.11120037)"
"711 West Elm Street","922,117,106,017","2012 Jul 10 12:00:00 AM","Class B","Issued","10/14/2026","40.1112","-88.2173","POINT (-88.2173 40.1112)"
"706 West Green Street","922,117,106,018","2025 Apr 02 12:00:00 AM","Class B","Issued","10/14/2026","40.11089805","-88.21670065","POINT (-88.21670065 40.11089805)"
"706 West Green Street","922,117,106,018","2007 Jul 26 12:00:00 AM","Class B","Issued",,"40.1109","-88.2167","POINT (-88.2167 40.1109)"
"708 West Green Street","922,117,106,019","2025 Jun 20 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.110867","-88.2169","POINT (-88.2169 40.110867)"
"711 West Green Street","922,117,107,003","2025 Mar 18 12:00:00 AM","Class B","Issued","10/14/2026","40.11036245","-88.21727634","POINT (-88.21727634 40.11036245)"
"705 West Green Street","922,117,107,006","2025 Mar 31 12:00:00 AM","Class B","Issued","10/14/2026","40.1103688","-88.2166964","POINT (-88.2166964 40.1103688)"
"705 West Green Street","922,117,107,006","2018 Jul 17 12:00:00 AM","Class B","Issued","10/14/2026","40.1103688","-88.2166964","POINT (-88.2166964 40.1103688)"
"705 West Green Street","922,117,107,006","2012 Oct 30 12:00:00 AM","Class B","Issued",,"40.1104","-88.2167","POINT (-88.2167 40.1104)"
"701 West Green Street","922,117,107,008","2013 Jan 25 12:00:00 AM","Class B","Issued",,"40.1104","-88.2163","POINT (-88.2163 40.1104)"
"304 South Busey Avenue","922,117,107,010","2025 Aug 08 12:00:00 AM","Class B","Issued","10/14/2026","40.10995","-88.2174","POINT (-88.2174 40.10995)"
"304 South Busey Avenue","922,117,107,010","2007 Aug 21 12:00:00 AM","Class A","Issued",,"40.11","-88.2174","POINT (-88.2174 40.11)"
"708 West High Street","922,117,107,012","2025 Mar 26 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11003217","-88.21689344","POINT (-88.21689344 40.11003217)"
"706 West High Street","922,117,107,013","2025 Mar 26 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11003497","-88.21670751","POINT (-88.21670751 40.11003497)"
"704 West High Street","922,117,107,014","2025 Apr 10 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.11004884","-88.21656197","POINT (-88.21656197 40.11004884)"
"704 West High Street","922,117,107,014","2012 Nov 21 12:00:00 AM","Class B","Issued","10/14/2026","40.11","-88.2165","POINT (-88.2165 40.11)"
"309 South Coler Avenue","922,117,107,015","2025 Mar 28 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11011444","-88.21633633","POINT (-88.21633633 40.11011444)"
"309 South Coler Avenue","922,117,107,015","2007 Aug 27 12:00:00 AM","Class B","Issued",,"40.1101","-88.2163","POINT (-88.2163 40.1101)"
"702 West High Street","922,117,107,016","2025 Mar 26 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.10996634","-88.2163344","POINT (-88.2163344 40.10996634)"
"709 West Green Street","922,117,107,018","2025 May 09 12:00:00 AM","Class B","Issued","10/14/2026","40.11036614","-88.21698708","POINT (-88.21698708 40.11036614)"
"709 West Green Street","922,117,107,018","2012 Nov 05 12:00:00 AM","Class B","Issued",,"40.1104","-88.217","POINT (-88.217 40.1104)"
"402 South Busey Avenue","922,117,108,001","2019 Mar 20 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.10962421","-88.2173956","POINT (-88.2173956 40.10962421)"
"404 South Busey Avenue","922,117,108,002","2025 Jul 02 12:00:00 AM","Class B","Issued","10/14/2026","40.10948658","-88.2173942","POINT (-88.2173942 40.10948658)"
"404 South Busey Avenue","922,117,108,002","2007 Aug 03 12:00:00 AM","Class B","Issued",,"40.1095","-88.2174","POINT (-88.2174 40.1095)"
"712 West Illinois Street","922,117,108,003","2012 Nov 16 12:00:00 AM","Class A","Issued",,"40.1093","-88.2174","POINT (-88.2174 40.1093)"
"709 West High Street","922,117,108,004","2025 May 19 12:00:00 AM","Class B","Issued","10/14/2026","40.10956714","-88.21703318","POINT (-88.21703318 40.10956714)"
"709 West High Street","922,117,108,004","2007 Aug 20 12:00:00 AM","Class B","Issued","10/14/2026","40.1096","-88.217","POINT (-88.217 40.1096)"
"707 West High Street","922,117,108,005","2025 Mar 17 12:00:00 AM","Class A","Issued","10/14/2026","40.10957098","-88.21680109","POINT (-88.21680109 40.10957098)"
"707 West High Street","922,117,108,005","2007 Oct 05 12:00:00 AM","Class B","Issued","10/14/2026","40.1096","-88.2168","POINT (-88.2168 40.1096)"
"705 West High Street","922,117,108,006","2019 Jan 09 12:00:00 AM","Class B","Issued","10/14/2026","40.10957349","-88.21663243","POINT (-88.21663243 40.10957349)"
"705 West High Street","922,117,108,006","2025 Mar 28 12:00:00 AM","Class B","Issued","10/14/2026","40.10957349","-88.21663243","POINT (-88.21663243 40.10957349)"
"705 West High Street","922,117,108,006","2012 Oct 16 12:00:00 AM","Class B","Issued",,"40.1096","-88.2166","POINT (-88.2166 40.1096)"
"703 West High Street","922,117,108,007","2025 Apr 23 12:00:00 AM","Class B","Issued","10/14/2026","40.1095764","-88.21645136","POINT (-88.21645136 40.1095764)"
"703 West High Street","922,117,108,007","2007 Aug 22 12:00:00 AM","Class B","Issued",,"40.1096","-88.2165","POINT (-88.2165 40.1096)"
"710 West Illinois Street","922,117,108,008","2025 Mar 31 12:00:00 AM","Class B","Issued","10/14/2026","40.1092353","-88.2172491","POINT (-88.2172491 40.1092353)"
"710 West Illinois Street","922,117,108,008","2007 Aug 15 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1092","-88.2173","POINT (-88.2173 40.1092)"
"708 West Illinois Street","922,117,108,009","2025 May 19 12:00:00 AM","Class B","Issued","10/14/2026","40.10930743","-88.21703145","POINT (-88.21703145 40.10930743)"
"708 West Illinois Street","922,117,108,009","2007 Aug 20 12:00:00 AM","Class B","Issued","10/14/2026","40.1093","-88.2171","POINT (-88.2171 40.1093)"
"706 West Illinois Street","922,117,108,010","2007 Jul 11 12:00:00 AM","Class B","Issued",,"40.1093","-88.2168","POINT (-88.2168 40.1093)"
"704 West Illinois Street","922,117,108,011","2018 Apr 09 12:00:00 AM","Class B","Issued","10/14/2026","40.10931442","-88.21661043","POINT (-88.21661043 40.10931442)"
"704 West Illinois Street","922,117,108,011","2025 Apr 30 12:00:00 AM","Class C","Issued","10/14/2026","40.10931442","-88.21661043","POINT (-88.21661043 40.10931442)"
"403 South Coler Avenue","922,117,108,014","2007 Jul 25 12:00:00 AM","Class B","Issued",,"40.1095","-88.2163","POINT (-88.2163 40.1095)"
"700 West Illinois Street","922,117,108,015","2025 Mar 12 12:00:00 AM","Class B","Issued","10/14/2026","40.10931263","-88.21625678","POINT (-88.21625678 40.10931263)"
"700 West Illinois Street","922,117,108,015","2007 Jul 23 12:00:00 AM","Class B","Issued","10/14/2024","40.1093","-88.2162","POINT (-88.2162 40.1093)"
"106 South Coler Avenue","922,117,110,001","2025 Apr 10 12:00:00 AM","Class B","Issued","10/14/2026","40.11201964","-88.21576705","POINT (-88.21576705 40.11201964)"
"106 South Coler Avenue","922,117,110,001","2013 May 01 12:00:00 AM","Class B","Issued","10/14/2026","40.1119","-88.2158","POINT (-88.2158 40.1119)"
"612 West Elm Street","922,117,110,002","2019 Feb 27 12:00:00 AM","Class B","Issued","10/14/2026","40.1116877","-88.21585116","POINT (-88.21585116 40.1116877)"
"612 West Elm Street","922,117,110,002","2025 Jul 07 12:00:00 AM","Class B","Issued","10/14/2026","40.1116877","-88.21585116","POINT (-88.21585116 40.1116877)"
"612 West Elm Street","922,117,110,002","2008 Dec 23 12:00:00 AM","Class B","Issued",,"40.1117","-88.2159","POINT (-88.2159 40.1117)"
"610 West Elm Street","922,117,110,003","2019 Feb 27 12:00:00 AM","Class B","Issued","10/14/2026","40.11168954","-88.21567298","POINT (-88.21567298 40.11168954)"
"610 West Elm Street","922,117,110,003","2013 Jun 12 12:00:00 AM","Class B","Issued","10/14/2026","40.1117","-88.2157","POINT (-88.2157 40.1117)"
"610 West Elm Street","922,117,110,003","2025 Jun 12 12:00:00 AM","Class B","Issued","10/14/2026","40.11168954","-88.21567298","POINT (-88.21567298 40.11168954)"
"608 West Elm Street","922,117,110,004","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11188617","-88.21548739","POINT (-88.21548739 40.11188617)"
"608 West Elm Street","922,117,110,004","2025 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11188617","-88.21548739","POINT (-88.21548739 40.11188617)"
"606 1/2 West Elm Street","922,117,110,004","2013 Jun 12 12:00:00 AM","Class C","Issued",,"0.0","0.0","POINT (0 0)"
"606 West Elm Street","922,117,110,005","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11188586","-88.21528643","POINT (-88.21528643 40.11188586)"
"606 West Elm Street","922,117,110,005","2025 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11188586","-88.21528643","POINT (-88.21528643 40.11188586)"
"606 West Elm Street","922,117,110,005","2013 Jun 12 12:00:00 AM","Class B","Issued","10/14/2026","40.1119","-88.2155","POINT (-88.2155 40.1119)"
"604 West Elm Street","922,117,110,006","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11189281","-88.21507564","POINT (-88.21507564 40.11189281)"
"604 1/2 West Elm Street","922,117,110,006","2013 Jun 12 12:00:00 AM","Class B","Issued",,"0.0","0.0","POINT (0 0)"
"604 West Elm Street","922,117,110,006","2025 Jun 27 12:00:00 AM","Class B","Issued","10/14/2026","40.11189281","-88.21507564","POINT (-88.21507564 40.11189281)"
"4 Buena Vista Court","922,117,110,007","2009 Feb 23 12:00:00 AM","Class B","Expired",,"40.1121","-88.2149","POINT (-88.2149 40.1121)"
"3 Buena Vista Court","922,117,110,008","2009 Jan 13 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1119","-88.2149","POINT (-88.2149 40.1119)"
"3 Buena Vista Court","922,117,110,008","2019 Apr 25 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.112064","-88.21485","POINT (-88.21485 40.112064)"
"1 Buena Vista Court","922,117,110,010","2014 Jun 27 12:00:00 AM","Class B","Expired",,"40.1117","-88.2149","POINT (-88.2149 40.1117)"
"8 Buena Vista Court","922,117,110,014","2025 May 05 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11192025","-88.21462674","POINT (-88.21462674 40.11192025)"
"103 South McCullough Street","922,117,110,020","2013 May 14 12:00:00 AM","Class B","Expired",,"40.1121","-88.2135","POINT (-88.2135 40.1121)"
"506 West Elm Street","922,117,110,021","2013 May 14 12:00:00 AM","Class B","Expired","10/14/2026","40.1117","-88.214","POINT (-88.214 40.1117)"
"504 West Elm Street","922,117,110,022","2013 Feb 08 12:00:00 AM","Class D","Expired",,"40.1118","-88.2138","POINT (-88.2138 40.1118)"
"504 West Elm Street","922,117,110,022","2019 Mar 29 12:00:00 AM","Class B","Issued","10/14/2026","40.11177965","-88.21375883","POINT (-88.21375883 40.11177965)"
"504 West Elm Street","922,117,110,022","2025 Jun 18 12:00:00 AM","Class B","Issued","10/14/2026","40.11177965","-88.21375883","POINT (-88.21375883 40.11177965)"
"502 West Elm Street","922,117,110,023","2013 Feb 08 12:00:00 AM","Class D","Expired","10/14/2026","40.1118","-88.2135","POINT (-88.2135 40.1118)"
"502 West Elm Street","922,117,110,023","2019 Mar 29 12:00:00 AM","Class B","Issued","10/14/2026","40.1117834","-88.21347156","POINT (-88.21347156 40.1117834)"
"502 West Elm Street","922,117,110,023","2025 Jun 16 12:00:00 AM","Class C","Issued","10/14/2026","40.1117834","-88.21347156","POINT (-88.21347156 40.1117834)"
"508 West Elm Street","922,117,110,025","2025 Jun 27 12:00:00 AM","Class B","Issued","10/14/2026","40.11178611","-88.2141901","POINT (-88.2141901 40.11178611)"
"505 Springfield Avenue","922,117,110,026","2013 Jun 18 12:00:00 AM","Class B","Issued",,"40.1121","-88.2139","POINT (-88.2139 40.1121)"
"611 West Elm Street","922,117,111,001","2019 Feb 12 12:00:00 AM","Class N","Issued","10/14/2026","40.11121823","-88.21583102","POINT (-88.21583102 40.11121823)"
"611 West Elm Street","922,117,111,001","2025 Jul 17 12:00:00 AM","Class B","Issued","10/14/2026","40.11121823","-88.21583102","POINT (-88.21583102 40.11121823)"
"609 West Elm Street","922,117,111,002","2019 Feb 27 12:00:00 AM","Class B","Issued","10/14/2026","40.1112212","-88.21561985","POINT (-88.21561985 40.1112212)"
"609 West Elm Street","922,117,111,002","2025 Jun 27 12:00:00 AM","Class B","Issued","10/14/2026","40.1112212","-88.21561985","POINT (-88.21561985 40.1112212)"
"609 West Elm Street","922,117,111,002","2008 Dec 23 12:00:00 AM","Class B","Issued","10/14/2026","40.1112","-88.2156","POINT (-88.2156 40.1112)"
"611 West Green Street","922,117,112,001","2019 Apr 15 12:00:00 AM","Class A","Issued","10/14/2026","40.11038577","-88.21577021","POINT (-88.21577021 40.11038577)"
"611 West Green Street","922,117,112,001","2013 May 28 12:00:00 AM","Class B","Issued","10/14/2026","40.1104","-88.2158","POINT (-88.2158 40.1104)"
"611 West Green Street","922,117,112,001","2025 Jun 09 12:00:00 AM","Class B","Issued","10/14/2026","40.11038577","-88.21577021","POINT (-88.21577021 40.11038577)"
"605 West Green Street","922,117,112,003","2019 Feb 11 12:00:00 AM","Class B","Issued","10/14/2026","40.1103704","-88.21517983","POINT (-88.21517983 40.1103704)"
"605 West Green Street","922,117,112,003","2025 Jul 03 12:00:00 AM","Class B","Issued","10/14/2026","40.1103704","-88.21517983","POINT (-88.21517983 40.1103704)"
"603 West Green Street","922,117,112,004","2013 Sep 04 12:00:00 AM","Class B","Issued","10/14/2026","40.1104","-88.2149","POINT (-88.2149 40.1104)"
"601 West Green Street","922,117,112,005","2019 Jan 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11039732","-88.21475499","POINT (-88.21475499 40.11039732)"
"601 West Green Street","922,117,112,005","2013 May 29 12:00:00 AM","Class B","Issued","10/14/2026","40.1104","-88.2147","POINT (-88.2147 40.1104)"
"306 South Coler Avenue","922,117,112,006","2008 Jun 12 12:00:00 AM","Class B","Issued",,"40.1101","-88.2158","POINT (-88.2158 40.1101)"
"312 South Coler Avenue","922,117,112,013","2019 Apr 03 12:00:00 AM","Class B","Issued","10/14/2026","40.10996024","-88.21576409","POINT (-88.21576409 40.10996024)"
"312 South Coler Avenue","922,117,112,013","2025 Apr 17 12:00:00 AM","Class B","Issued","10/14/2026","40.10996024","-88.21576409","POINT (-88.21576409 40.10996024)"
"312 South Coler Avenue","922,117,112,013","2015 Dec 30 12:00:00 AM","Class C","Issued",,"40.11","-88.2158","POINT (-88.2158 40.11)"
"607 West High Street","922,117,113,003","2025 Jun 10 12:00:00 AM","Class B","Issued","10/14/2026","40.10958963","-88.21536963","POINT (-88.21536963 40.10958963)"
"607 West High Street","922,117,113,003","2008 Jun 17 12:00:00 AM","Class B","Issued","10/14/2021","40.1096","-88.2154","POINT (-88.2154 40.1096)"
"607 West High Street","922,117,113,003","2019 Jun 20 12:00:00 AM","Class B","Issued","10/14/2026","40.10958963","-88.21536963","POINT (-88.21536963 40.10958963)"
"605 West High Street","922,117,113,004","2009 Jan 16 12:00:00 AM","Class B","Issued",,"40.1096","-88.2152","POINT (-88.2152 40.1096)"
"603 West High Street","922,117,113,005","2025 May 19 12:00:00 AM","Class B","Issued","10/14/2026","40.10959501","-88.21495982","POINT (-88.21495982 40.10959501)"
"603 West High Street","922,117,113,005","2013 Jun 24 12:00:00 AM","Class B","Issued",,"40.1096","-88.2149","POINT (-88.2149 40.1096)"
"614 West Illinois Street","922,117,113,007","2008 Dec 23 12:00:00 AM","Class B","Issued","10/14/2026","40.1093","-88.2158","POINT (-88.2158 40.1093)"
"606 West Illinois Street","922,117,113,011","2008 Nov 17 12:00:00 AM","Class B","Issued","10/14/2026","40.1093","-88.2152","POINT (-88.2152 40.1093)"
"602 West Illinois Street","922,117,113,014","2009 Feb 03 12:00:00 AM","Class B","Issued","10/14/2026","40.1093","-88.2147","POINT (-88.2147 40.1093)"
"602 West Illinois Street","922,117,113,014","2019 Apr 11 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.10928599","-88.21474137","POINT (-88.21474137 40.10928599)"
"602 West Illinois Street","922,117,113,014","2025 Apr 25 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.10928599","-88.21474137","POINT (-88.21474137 40.10928599)"
"502 West Green Street Unit 101","922,117,127,015","2019 May 01 12:00:00 AM","Class B","Issued","10/14/2026","40.11083622","-88.21337019","POINT (-88.21337019 40.11083622)"
"502 West Green Street Unit 101","922,117,127,015","2025 Jul 11 12:00:00 AM","Class B","Issued","10/14/2026","40.11083622","-88.21337019","POINT (-88.21337019 40.11083622)"
"502 West Green Street Unit 101","922,117,127,015","2008 Nov 24 12:00:00 AM","Class B","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 102","922,117,127,016","2009 Feb 02 12:00:00 AM","Class B","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 102","922,117,127,016","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11083547","-88.21348726","POINT (-88.21348726 40.11083547)"
"502 West Green Street Unit 102","922,117,127,016","2025 May 16 12:00:00 AM","Class B","Issued","10/14/2026","40.11083547","-88.21348726","POINT (-88.21348726 40.11083547)"
"502 West Green Street Unit 103","922,117,127,017","2019 Apr 08 12:00:00 AM","Class B","Issued","10/14/2026","40.11083474","-88.21360432","POINT (-88.21360432 40.11083474)"
"502 West Green Street Unit 103","922,117,127,017","2025 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11083474","-88.21360432","POINT (-88.21360432 40.11083474)"
"502 West Green Street Unit 103","922,117,127,017","2008 Dec 12 12:00:00 AM","Class B","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 104","922,117,127,018","2019 May 01 12:00:00 AM","Class B","Issued","10/14/2026","40.11083396","-88.21372139","POINT (-88.21372139 40.11083396)"
"502 West Green Street Unit 104","922,117,127,018","2025 Jul 11 12:00:00 AM","Class B","Issued","10/14/2026","40.11083396","-88.21372139","POINT (-88.21372139 40.11083396)"
"502 West Green Street Unit 104","922,117,127,018","2008 Dec 18 12:00:00 AM","Class B","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 110","922,117,127,019","2009 Feb 10 12:00:00 AM","Class B","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 110","922,117,127,019","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11129324","-88.21372679","POINT (-88.21372679 40.11129324)"
"502 West Green Street Unit 110","922,117,127,019","2025 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11129324","-88.21372679","POINT (-88.21372679 40.11129324)"
"502 West Green Street Unit 111","922,117,127,020","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.1112941","-88.21360965","POINT (-88.21360965 40.1112941)"
"502 West Green Street Unit 111","922,117,127,020","2025 May 16 12:00:00 AM","Class B","Issued","10/14/2026","40.1112941","-88.21360965","POINT (-88.21360965 40.1112941)"
"502 West Green Street Unit 112","922,117,127,021","2009 Jan 30 12:00:00 AM","Class A","Issued","10/14/2026","40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 112","922,117,127,021","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11129493","-88.21349248","POINT (-88.21349248 40.11129493)"
"502 West Green Street Unit 112","922,117,127,021","2025 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11129493","-88.21349248","POINT (-88.21349248 40.11129493)"
"502 West Green Street Unit 113","922,117,127,022","2009 Feb 02 12:00:00 AM","Class B","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 113","922,117,127,022","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.1112958","-88.2133753","POINT (-88.2133753 40.1112958)"
"502 West Green Street Unit 113","922,117,127,022","2025 May 15 12:00:00 AM","Class B","Issued","10/14/2026","40.1112958","-88.2133753","POINT (-88.2133753 40.1112958)"
"502 West Green Street Unit 201","922,117,127,023","2019 Apr 03 12:00:00 AM","Class B","Issued","10/14/2026","40.11083622","-88.21337019","POINT (-88.21337019 40.11083622)"
"502 West Green Street Unit 201","922,117,127,023","2025 Jul 11 12:00:00 AM","Class B","Issued","10/14/2026","40.11083622","-88.21337019","POINT (-88.21337019 40.11083622)"
"502 West Green Street Unit 201","922,117,127,023","2008 Dec 22 12:00:00 AM","Class A","Issued",,"40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 202","922,117,127,024","2009 Feb 02 12:00:00 AM","Class B","Issued","10/14/2026","40.1107","-88.2134","POINT (-88.2134 40.1107)"
"502 West Green Street Unit 202","922,117,127,024","2019 Feb 28 12:00:00 AM","Class B","Issued","10/14/2026","40.11083547","-88.21348726","POINT (-88.21348726 40.11083547)"
"502 West Green Street Unit 202","922,117,127,024","2025 May 19 12:00:00 AM","Class B","Issued","10/14/2026","40.11083547","-88.21348726","POINT (-88.21348726 40.11083547)"
"502 West Green Street Unit 203","922,117,127,025","2025 Aug 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11083474","-88.21360432","POINT (-88.21360432 40.11083474)"
